Country,GDP 2023,Corruption,Burglary,Theft,Homicide,Kidnapping,Serious Assault,Sexual Violence,GunOwnership_TotalCivilianFirearms_num_2017,GunOwnership_MilitaryFirearms_num_2017,GunOwnership_LawEnforcementFirearms_num_2017,Military,NaturalDisasterRisk_WorldRiskIndexTotal_2024,Active Police Force,Traffic Fatalities per 100k,Youth Unemployment Rate
Bahrain,46079867021.0,1999.1911764705883,50125.59523809523,181453.84848484848,1.0,1415.9659445627653,31491.712534306895,7791.105485232068,181000.0,25796.0,20000.0,19460.0,0.94,96902.10037214246,8.1,5.8
Bangladesh,437415000000.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,659000.0,410305.0,101581.54838709677,226950.0,8.266549707602339,210000.0,18.6,15.7
Barbados,6720733200.0,2.0,50125.59523809522,181453.84848484845,32.0,4.0,792.0,7791.105485232067,10000.0,1675.0,2000.0,1040.0,2.46,1394.0,10.0,24.9
Belarus,71857382746.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,581000.0,780600.0,165000.0,444850.0,0.76,30970.0,7.4,10.2
Belgium,644783000000.0,1999.1911764705883,50125.59523809523,181453.84848484848,125.0,1415.9659445627653,58112.0,9749.0,1451000.0,80880.0,78000.0,31400.0,5.1,37840.0,4.6,16.1
Belize,3066850000.0,0.0,50125.59523809522,181453.84848484845,125.0,4.0,1005.0,7791.105485232067,37000.0,3690.0,2000.0,2350.0,7.97,1300.0,17.5,17.4
Benin,19676049076.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,33000.0,8700.0,26000.0,12050.0,1.77,96902.10037214246,24.8,3.9
Bermuda,8141700000.0,1999.1911764705883,50125.59523809523,181453.84848484848,7.0,1415.9659445627653,31491.712534306895,7791.105485232068,3000.0,555172.3378378379,500.0,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,29.3
Bhutan,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,6000.0,15200.0,4000.0,248620.28859060403,1.18,96902.10037214246,12.2,29.2
Bolivia,45135398009.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,218000.0,555172.3378378379,42000.0,71200.0,3.2,96902.10037214246,13.053488372093023,5.3
Bosnia and Herzegovina,27514782476.0,779.0,50125.59523809522,181453.84848484845,32.0,14.0,755.0,7791.105485232067,1185000.0,27300.0,29000.0,10500.0,2.49,96902.10037214246,13.7,26.5
Botswana,19396084498.0,1999.1911764705883,50125.59523809523,181453.84848484848,273.0,1415.9659445627653,31491.712534306895,7791.105485232068,97000.0,17100.0,11000.0,9000.0,1.34,8500.0,16.5,15.939306358381502
Brazil,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.462046204621,1415.9659445627653,31491.712534306895,7791.105485232068,4352042.857142857,1316300.0,101581.54838709677,248620.28859060403,13.15,96902.10037214246,15.7,17.9
Brunei Darussalam,15128292981.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,4352042.857142857,555172.3378378379,101581.54838709677,248620.28859060403,8.266549707602339,96902.10037214246,3.6,15.939306358381502
Bulgaria,102408000000.0,565.0,50125.59523809522,24435.0,89.0,69.0,2758.0,547.0,590000.0,176640.0,59400.0,39950.0,2.43,24283.0,8.4,12.0
Burkina Faso,20324617845.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,175000.0,43780.0,43000.0,11450.0,2.01,96902.10037214246,27.8,8.0
Burundi,2642161669.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,238000.0,75960.0,24278.0,51050.0,3.02,96902.10037214246,12.3,1.7
Cambodia,42335646896.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,717000.0,258670.0,64000.0,191300.0,8.15,64000.0,18.8,0.8
Cameroon,49279410983.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,510000.0,27360.0,15000.0,34400.0,11.4,96902.10037214246,10.6,6.4
Canada,586080086187.5623,1999.1911764705883,50125.59523809522,181453.84848484845,796.0,1415.9659445627658,31491.7125343069,7791.105485232067,4352042.857142857,233949.0,103000.0,107500.0,18.89,67425.0,4.7,10.6
Cayman Islands,7139428558.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,6000.0,555172.3378378379,400.0,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,13.8
Central African Republic,2555492085.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,94000.0,8580.0,10000.0,10150.0,3.44,96902.10037214246,25.9,10.7
Chad,13149325362.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,151000.0,25020.0,34000.0,45150.0,2.94,96902.10037214246,26.4,1.5
Chile,335533000000.0,362.0,50125.59523809522,80990.0,906.0,353.0,11169.0,7791.105485232067,2220000.0,311900.0,66000.0,161900.0,13.74,30300.0,10.3,22.0
China,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,4352042.857142857,555172.3378378378,101581.54838709677,248620.28859060403,8.266549707602339,96902.10037214246,17.4,15.7
Colombia,363494000000.0,1999.1911764705883,50125.59523809522,181453.84848484845,2537.462046204621,317.0,31491.7125343069,7791.105485232068,4352042.857142857,350689.0,101581.54838709677,516050.0,8.266549707602339,150000.0,16.2,19.3
Comoros,1352380971.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,12000.0,600.0,2000.0,248620.28859060403,2.68,500.0,29.0,10.9
Cook Islands,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,4352042.857142857,555172.3378378379,101581.54838709677,248620.28859060403,8.266549707602339,96902.10037214246,17.6,15.939306358381502
Costa Rica,86497941439.0,3237.0,50125.59523809522,22460.0,588.0,14.0,7156.0,6788.0,493000.0,555172.3378378379,17000.0,9800.0,11.17,14500.0,15.5,24.1
Croatia,84393795502.0,912.0,50125.59523809522,181453.84848484845,33.0,3.0,727.0,891.0,576000.0,75120.0,39000.0,36550.0,4.78,20004.0,8.1,19.2
Cuba,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,234000.0,958100.0,42000.0,248620.28859060403,7.8,96902.10037214246,5.4,3.0
Cyprus,33886930712.0,12.0,50125.59523809522,181453.84848484845,16.0,3.0,179.0,7791.105485232067,285000.0,99000.0,11000.0,65750.0,3.5,3000.0,3.9,17.5
Denmark,407092000000.0,1999.1911764705883,50125.59523809522,124628.0,37.0,1415.9659445627653,1884.0,6343.0,567000.0,124120.0,20000.0,58500.0,0.98,11225.0,2.3,11.7
Djibouti,4098530514.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,28000.0,19855.0,5000.0,13100.0,10.82,96902.10037214246,23.3,15.939306358381502
Dominica,653992592.6,41.0,50125.59523809522,181453.84848484845,10.0,4.0,733.0,7791.105485232067,5000.0,555172.3378378379,600.0,248620.28859060403,2.69,506.0,11.0,15.939306358381502
Dominican Republic,121444000000.0,1999.1911764705883,50125.59523809523,181453.84848484845,1172.0,1415.9659445627653,2892.0,6739.0,795000.0,106495.0,46000.0,71050.0,13.33,32000.0,27.4,11.8
Ecuador,118845000000.0,1035.0,50125.59523809522,19370.0,2496.0,805.0,6266.0,7791.105485232067,402000.0,253668.0,41000.0,158750.0,8.266549707602339,40000.0,23.4,7.2
Egypt,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,4352042.857142857,555172.3378378378,101581.54838709677,248620.28859060403,18.78,96902.10037214246,9.4,19.0
El Salvador,34015620000.0,71.0,50125.59523809522,181453.84848484845,1085.0,10.0,5752.0,5919.0,737000.0,127840.0,30000.0,51400.0,14.94,21900.0,21.5,7.2
Equatorial Guinea,12337550584.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,112000.0,2760.0,2000.0,1450.0,3.25,96902.10037214246,11.7,16.4
Eritrea,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,23000.0,668550.0,12000.0,321750.0,7.47,96902.10037214246,17.7,10.0
Estonia,41291245222.0,87.0,50125.59523809523,181453.84848484845,26.0,0.0,74.0,7791.105485232067,65000.0,38760.0,18000.0,24600.0,1.77,4424.0,4.4,17.1
Ethiopia,163698000000.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,377000.0,525600.0,79000.0,138000.0,4.86,96902.10037214246,17.7,5.6
Faroe Islands,3907323961.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,5000.0,555172.3378378379,200.0,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,15.939306358381502
Fiji,5442046565.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,5000.0,16700.0,2000.0,9500.0,6.7,1970.0,5.3,15.2
Finland,295532000000.0,1999.1911764705883,50125.59523809522,124104.0,71.0,2.0,1663.0,5016.0,1793000.0,475030.0,14000.0,292000.0,1.54,7300.0,4.2,15.9
France,586080086187.5623,2734.0,50125.59523809522,181453.84848484845,734.0,1415.9659445627653,31491.7125343069,7791.105485232067,4352042.857142857,566430.0,101581.54838709677,380600.0,7.54,56626.2,4.7,17.1
French Guiana,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,55000.0,555172.3378378379,2000.0,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,15.939306358381502
French Polynesia,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,7000.0,555172.3378378379,400.0,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,15.939306358381502
Gabon,19388402542.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,61000.0,5640.0,4000.0,6700.0,5.08,96902.10037214246,12.5,36.5
Gambia,2396111022.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,137000.0,1080.0,5000.0,800.0,4.89,5000.0,22.0,10.6
Georgia,30777833585.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,402000.0,63950.0,41000.0,26050.0,3.74,96902.10037214246,12.7,30.2
Germany,586080086187.5623,1999.1911764705883,50125.59523809522,181453.84848484845,695.0,1415.9659445627658,31491.7125343069,7791.105485232067,4352042.857142857,483016.0,101581.54838709677,233550.0,4.1,96902.10037214246,3.3,6.0
Ghana,76370396722.0,1999.1911764705883,50125.59523809523,181453.84848484848,603.0,118.0,50939.0,1839.0,2280000.0,18600.0,28000.0,15500.0,2.94,23000.0,25.9,5.5
Gibraltar,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,1000.0,555172.3378378379,600.0,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,15.939306358381502
Greece,243498000000.0,757.0,50125.59523809522,58937.0,89.0,62.0,1186.0,7791.105485232067,1920000.0,642510.0,99000.0,368050.0,8.61,55000.0,7.3,26.6
Greenland,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,13000.0,555172.3378378379,300.0,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,15.939306358381502
Grenada,1316733333.0,1.0,50125.59523809522,181453.84848484845,5.0,0.0,1978.0,7791.105485232067,5000.0,555172.3378378379,1000.0,248620.28859060403,1.82,900.0,6.4,15.939306358381502
Guadeloupe,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,40000.0,555172.3378378379,2000.0,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,15.939306358381502
Guam,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,20000.0,555172.3378378379,500.0,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,12.9
Guatemala,104450000000.0,1999.1911764705883,50125.59523809523,181453.84848484848,3563.0,141.0,21455.0,11102.0,2062000.0,160600.0,43000.0,106900.0,11.76,96902.10037214246,12.6,5.9
Guernsey,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,4352042.857142857,555172.3378378379,101581.54838709677,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,13.5
Guinea,22199409741.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,130000.0,23080.0,13000.0,12300.0,6.55,10000.0,13.053488372093025,7.3
Guinea-Bissau,2048348108.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,29000.0,10260.0,4000.0,4450.0,3.55,96902.10037214246,30.5,4.0
Guyana,17159509565.0,42.0,50125.59523809523,181453.84848484848,131.0,0.0,857.0,7791.105485232067,122000.0,10890.0,4000.0,4070.0,7.35,96902.10037214246,15.2,25.9
Haiti,19850829758.0,1999.1911764705883,50125.59523809523,181453.84848484848,1615.0,1415.9659445627653,31491.712534306895,7791.105485232068,291000.0,380.0,15000.0,200.0,9.96,12000.0,31.3,36.8
Honduras,34400509852.0,760.0,50125.59523809522,181453.84848484845,3931.0,34.0,2589.0,3482.0,1171000.0,107720.0,29000.0,82950.0,16.81,96902.10037214246,18.5,11.0
Hong Kong,380812000000.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,265000.0,555172.3378378379,28000.0,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,10.5
Hungary,212389000000.0,1999.1911764705883,50125.59523809523,42428.0,75.0,4.0,31491.712534306895,473.0,1023000.0,555172.3378378379,17000.0,59800.0,0.95,36104.0,7.4,12.8
Iceland,31325116556.0,1999.1911764705883,50125.59523809522,181453.84848484845,2.0,1415.9659445627653,120.0,646.0,106000.0,650.0,590.0,250.0,2.01,653.0,2.4,9.2
India,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.462046204621,1415.9659445627653,31491.712534306895,7791.105485232068,4352042.857142857,555172.3378378378,101581.54838709677,248620.28859060403,8.266549707602339,96902.10037214246,14.6,15.8
Indonesia,1371170000000.0,364.0,50125.59523809523,181453.84848484848,2537.4620462046205,206.0,8445.0,5905.0,82000.0,555172.3378378378,101581.54838709677,248620.28859060403,8.266549707602339,96902.10037214246,11.3,13.9
Iraq,250843000000.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,4352042.857142857,611000.0,56000.0,341000.0,9.24,96902.10037214246,21.5,32.2
Ireland,551395000000.0,8.0,50125.59523809522,44553.0,22.0,100.0,4874.0,2973.0,342000.0,26636.0,3000.0,13550.0,2.55,14695.0,2.8,10.5
Isle of Man,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,4352042.857142857,555172.3378378379,101581.54838709677,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,15.939306358381502
Israel,513611000000.0,1999.1911764705883,50125.59523809522,44071.0,173.0,570.0,7417.0,8036.0,557000.0,1016900.0,41000.0,248620.28859060403,3.81,24000.0,4.2,6.0
Italy,586080086187.5623,1999.1911764705883,50125.59523809522,181453.84848484845,303.0,118.0,59660.0,5766.0,4352042.857142857,52960.0,101581.54838709677,359550.0,11.11,96902.10037214246,5.0,22.7
Jamaica,19423355409.0,5.0,50125.59523809523,181453.84848484848,1474.0,16.0,3298.0,1817.0,246000.0,8681.0,12000.0,4930.0,3.4,8600.0,17.8,13.8
Japan,586080086187.5623,1999.1911764705883,50125.59523809522,181453.84848484845,285.0,389.0,18145.0,5671.0,377000.0,745514.0,101581.54838709677,317500.0,8.266549707602339,96902.10037214246,2.7,4.1
Jersey,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,4352042.857142857,555172.3378378379,101581.54838709677,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,13.5
Jordan,50967475352.0,86.0,50125.59523809523,181453.84848484845,114.0,162.0,657.0,1085.0,1473000.0,286450.0,60000.0,180500.0,3.61,25000.0,13.6,15.939306358381502
Kazakhstan,262642000000.0,1999.1911764705883,50125.59523809523,181453.84848484848,562.0,1415.9659445627653,31491.712534306895,7791.105485232068,504000.0,375690.0,65000.0,70500.0,1.94,96902.10037214246,12.2,3.8
Kenya,108039000000.0,96.0,50125.59523809522,181453.84848484845,2796.0,58.0,22365.0,8182.0,750000.0,45790.0,51527.0,29100.0,13.79,95000.0,28.2,12.2
Kiribati,279208903.3,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,900.0,555172.3378378379,200.0,248620.28859060403,2.81,458.0,6.2,22.5
Kuwait,163705000000.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,685000.0,82580.0,11000.0,48300.0,2.77,18000.0,9.2,15.0
Kyrgyzstan,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,171000.0,145010.0,18000.0,20400.0,2.53,96902.10037214246,13.3,8.2
Latvia,42247850065.0,205.0,50125.59523809522,181453.84848484845,57.0,6.0,549.0,7791.105485232067,205000.0,27936.0,17000.0,22110.0,3.01,7000.0,9.8,12.5
Lebanon,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232067,1927000.0,130150.0,41000.0,80000.0,3.87,96902.10037214246,9.7,23.7
Lesotho,2117962451.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,105000.0,2400.0,5000.0,2000.0,1.33,2404.0,21.6,24.8
Liberia,4240000000.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,97000.0,555172.3378378379,5000.0,2010.0,3.11,4100.0,15.3,2.3
Liechtenstein,586080086187.5623,14.0,50125.59523809522,181453.84848484845,2.0,0.0,60.0,7791.105485232067,11000.0,555172.3378378379,200.0,248620.28859060403,0.71,131.0,13.053488372093023,15.939306358381502
Lithuania,79789877416.0,624.0,50125.59523809522,181453.84848484845,72.0,1.0,126.0,7791.105485232067,385000.0,81240.0,17000.0,40950.0,2.32,7007.0,6.3,13.9
Luxembourg,85755006124.0,4.0,50125.59523809522,181453.84848484845,4.0,37.0,548.0,7791.105485232067,110000.0,2340.0,5000.0,1500.0,0.61,1812.0,3.9,19.0
Madagascar,15790113247.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,168000.0,25320.0,20000.0,21600.0,8.266549707602339,96902.10037214246,22.5,5.5
Malawi,12712150082.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,47000.0,24480.0,8400.0,14900.0,3.37,96902.10037214246,20.2,6.8
Malaysia,399705000000.0,828.0,50125.59523809523,181453.84848484848,243.0,1415.9659445627653,4063.0,3209.0,217000.0,428170.0,102000.0,431800.0,14.5,102000.0,13.9,12.5
Maldives,6590894302.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,23000.0,9500.0,3000.0,248620.28859060403,1.11,96902.10037214246,1.3,14.9
Mali,20661794596.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,206000.0,15800.0,3000.0,20800.0,2.29,7000.0,20.2,4.1
Malta,22328640242.0,26.0,50125.59523809522,181453.84848484845,2.0,0.0,171.0,7791.105485232067,119000.0,5547.0,1637.0,2130.0,1.03,1902.0,1.9,9.3
Marshall Islands,259300000.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,300.0,555172.3378378379,80.0,248620.28859060403,3.12,130.0,11.9,26.0
Martinique,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,34000.0,555172.3378378379,1000.0,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,15.939306358381502
Mauritania,10651709411.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,120000.0,22820.0,10000.0,20850.0,9.32,96902.10037214246,9.5,23.7
Mauritius,14644524819.0,623.0,50125.59523809523,181453.84848484848,34.0,23.0,271.0,608.0,106000.0,4845.0,11000.0,2550.0,3.58,12475.0,9.7,20.9
Mexico,586080086187.5623,1999.1911764705883,50125.59523809522,181453.84848484845,2537.462046204621,788.0,31491.7125343069,7791.105485232067,4352042.857142857,895285.0,101581.54838709677,409400.0,8.266549707602339,96902.10037214246,12.0,6.1
Monaco,9995350547.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,7000.0,555172.3378378379,1000.0,248620.28859060403,0.18,500.0,0.0,26.6
Mongolia,20325121394.0,335.0,50125.59523809523,181453.84848484848,206.0,2.0,370.0,540.0,242000.0,323400.0,7000.0,154200.0,1.95,96902.10037214246,12.4,11.4
Montenegro,7530593375.0,178.0,50125.59523809522,181453.84848484845,15.0,2.0,118.0,7791.105485232067,245000.0,5396.0,8000.0,12450.0,2.9,4210.0,9.1,27.9
Montserrat,586080086187.5623,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,300.0,555172.3378378379,101581.54838709677,248620.28859060403,8.266549707602339,96902.10037214246,13.053488372093023,15.939306358381502
Morocco,144417000000.0,1999.1911764705883,50125.59523809523,181453.84848484848,716.0,537.0,51702.0,5875.0,1690000.0,588020.0,91000.0,395800.0,10.43,96902.10037214246,18.6,22.6
Mozambique,20954220984.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,1337000.0,60000.0,24000.0,11200.0,8.266549707602339,96902.10037214246,20.1,7.6
Myanmar,66757619000.0,1999.1911764705883,50125.59523809523,181453.84848484848,2537.462046204621,1415.9659445627653,31491.712534306895,7791.105485232068,877000.0,788900.0,76000.0,513000.0,8.266549707602339,93000.0,19.3,9.7
Namibia,12351025067.0,82.0,50125.59523809523,181453.84848484848,315.0,69.0,9465.0,1235.0,396000.0,11880.0,15000.0,15900.0,5.4,96902.10037214246,22.0,15.939306358381502
Nauru,154170289.3,1999.1911764705883,50125.59523809523,181453.84848484848,2537.4620462046205,1415.9659445627653,31491.712534306895,7791.105485232068,4352042.857142857,555172.3378378379,101581.54838709677,248620.28859060403,1.02,80.0,8.0,15.939306358381502
